name,type,url,expertise_tags,skill_tags,geography,language,enabled,frequency,notes
"International Rescue Committee (IRC) — Careers","INGO Careers","https://careers.rescue.org/","EiE;MHPSS;SEL;Gender","Curriculum Development;M&E;MEL;Evaluation;Research","Global","English","yes","weekly",""
"Mercy Corps — Careers","INGO Careers","https://www.mercycorps.org/careers","EiE;TVET;Gender","Curriculum Development;M&E;MEL;Training","Global","English","yes","weekly",""
"War Child — Careers","INGO Careers","https://www.warchildholland.org/careers/","EiE;MHPSS;SEL","Curriculum Development;Research;Evaluation","Global","English","yes","weekly","Also check warchild.net (UK)."
"Right To Play — Careers","INGO Careers","https://righttoplay.com/en/careers/","ECE;SEL","Play-based Learning;Training;Facilitation;Curriculum Development","Global","English","yes","weekly",""
"ChildFund Alliance — Careers","INGO Careers","https://www.childfundalliance.org/work-with-us","EiE;ECE;Gender","Curriculum Development;M&E;Evaluation","Global","English","yes","weekly","VERIFY URL — ChildFund Alliance careers page; member orgs (ChildFund International, Educo, BORNFonden, etc.) also post separately."
"CARE International — Careers","INGO Careers","https://www.care-international.org/about-us/jobs","Gender;EiE","M&E;MEL;Evaluation;Strategic Planning","Global","English","yes","weekly",""
"Devex — Funding & Jobs","Aggregator","https://www.devex.com/funding","EiE;ECE;Gender;TVET;Disability Inclusion","Research;M&E;MEL;Evaluation;Policy","Global","English","yes","daily","Best free intl-dev aggregator. Free tier shows top-line announcements; Pro tier ($$) for deep search. Also check devex.com/jobs?filter[contract_lengths][]=Short-term+contract+assignment for short-term consultancies."
"DevelopmentAid — Tenders & Jobs","Aggregator","https://www.developmentaid.org/tenders/search","EiE;ECE;Gender;TVET","Research;M&E;Evaluation","Global","English","no","daily","PAID subscription ($300+/year for full search). Disabled until community decides on group subscription."
"LEGO Foundation — Funding & Partnerships","Funder Page","https://learningthroughplay.com/","ECE;ECD;SEL","Play-based Learning;Curriculum Development;Research","Global","English","yes","monthly","Major ECE/play funder. RFPs are rare but high-value. Also check legofoundation.com/grants."
"Porticus — News & Calls","Funder Page","https://www.porticus.com/en/news","ECE;EiE;SEL","Research;Evaluation","Global","English","yes","monthly","VERIFY — Porticus rarely posts open calls publicly; most work is via direct invitation. Monitor news page."
"Jacobs Foundation","Funder Page","https://jacobsfoundation.org/en/news/","ECE;SEL","Research;Evaluation","Global (Sub-Saharan Africa focus)","English","yes","monthly",""
"BHP Foundation — Education Equity","Funder Page","https://www.bhp.com/sustainability/communities/bhp-foundation","EiE;TVET;Gender","Policy;Strategic Planning","Global","English","yes","monthly","VERIFY exact URL — BHP Foundation Education Equity portfolio."
"Open Society Foundations — Open Calls","Funder Page","https://www.opensocietyfoundations.org/grants/open-calls","EiE;Gender;Disability Inclusion","Policy;Research;Strategic Planning","Global","English","yes","weekly",""
"Bernard van Leer Foundation","Funder Page","https://bernardvanleer.org/","ECD;ECE","Research;Policy;Strategic Planning","Global","English","yes","monthly","Major ECD funder. Mostly direct partnerships, but worth monitoring."
"UNGM — UN Global Marketplace (Tender Alert Service)","Email Alert","https://www.ungm.org/Public/Notice","EiE;ECE;Gender;TVET;Disability Inclusion","Research;M&E;MEL;Evaluation;Curriculum Development","Global","English;French;Spanish","yes","daily","Free Tender Alert Service. Set keywords: education, MHPSS, MEL, curriculum, evaluation, teacher training. Emails delivered to admin inbox for triage."
"TED EU — Education Tenders","RSS Feed","","EiE;ECE;TVET;Gender","Research;M&E;MEL;Evaluation;Policy","Europe (also EU-funded bilateral)","English;French","no","daily","NEEDS REBUILD. Legacy URL pattern (/en/simap/rss-feed/-/rss/search/...) broken since 2024 TED overhaul. FIX: go to ted.europa.eu, search using CPV codes 80000000 (education services), then use the RSS export button on results page."
"DG ECHO — Tenders","Email Alert","https://wikis.ec.europa.eu/display/ECHOWIKI/Tenders","EiE","Research;M&E;Evaluation;Strategic Planning","Global","English;French","yes","weekly","VERIFY current URL. DG ECHO humanitarian tenders — EiE-relevant procurement."
"USAID — Business Forecast","Email Alert","https://www.usaid.gov/business-forecast","EiE;Gender;TVET;Disability Inclusion","M&E;MEL;Evaluation;Research","Global","English","yes","monthly","USAID's forecasted opportunities. Browse by sector / region. Also set keyword alert at sam.gov."
"SAM.gov — US Federal Opportunities","Email Alert","https://sam.gov/opportunities","EiE;Gender;TVET","M&E;MEL;Evaluation;Research;Curriculum Development","Global","English","yes","daily","Set up saved search with email alert. Keywords: education in emergencies, MEL, evaluation, curriculum, teacher training."
"FCDO — Supply Partner Portal","Email Alert","https://supplierregistration.cabinetoffice.gov.uk/fts","EiE;Gender;TVET","Research;M&E;Evaluation;Policy","Global","English","yes","weekly","VERIFY URL. UK FCDO contractor portal. Register + configure email alerts for education sector."
"NORAD — Tenders","Email Alert","https://www.norad.no/en/front/about-norad/jobs-and-tenders/","EiE;Gender","M&E;Evaluation;Research","Global (Norwegian aid recipients)","English","yes","weekly",""
"Sida — Tenders","Email Alert","https://www.sida.se/en/for-partners/procurement","EiE;Gender","M&E;Evaluation;Research","Global (Swedish aid recipients)","English","yes","weekly",""
"GIZ — Tender Portal","Email Alert","https://www.giz.de/en/workingwithgiz/business-opportunities.html","EiE;TVET;Gender","Curriculum Development;Training;M&E;Evaluation","Global","English;German","yes","weekly","Major German bilateral. TVET and youth livelihoods especially strong."
"AFD — Calls for Tender","Email Alert","https://www.afd.fr/en/calls-for-projects-tenders","EiE;Gender;TVET","Research;M&E;Evaluation","Francophone Africa;Global","English;French","yes","weekly","French development agency. Francophone consultancies especially."
"Google Alert — EiE Consultancy","Google Alert","","EiE","Curriculum Development;M&E;Evaluation","Global","English","yes","daily","SETUP: google.com/alerts → keyword: \"\"education in emergencies\"\" (consultant OR RFP OR \"\"call for proposals\"\") → RSS delivery. Admin paste feed URL here."
"Google Alert — MHPSS Consultancy","Google Alert","","MHPSS;PSS","Research;Training;Facilitation","Global","English","yes","daily","SETUP: keyword: \"\"MHPSS\"\" OR \"\"psychosocial support\"\" (consultant OR RFP OR tender)."
"Google Alert — Play-Based Learning RFP","Google Alert","","ECE;SEL","Play-based Learning;Curriculum Development","Global","English","yes","daily","SETUP: keyword: \"\"play-based learning\"\" OR \"\"learning through play\"\" (RFP OR grant OR consultant)."
"Google Alert — TVET Consultancy","Google Alert","","TVET","Curriculum Development;Training;Strategic Planning","Global","English","yes","daily","SETUP: keyword: TVET OR \"\"vocational training\"\" (consultant OR RFP OR \"\"call for proposals\"\")."
"Google Alert — Disability Inclusion Education","Google Alert","","Disability Inclusion","Curriculum Development;Policy;Research","Global","English","yes","daily","SETUP: keyword: \"\"disability inclusion\"\" OR \"\"inclusive education\"\" (RFP OR tender OR consultant)."
"Member Submissions","Manual Submission","","EiE;ECD;ECE;ECDiE;SEL;MHPSS;PSS;TVET;Disability Inclusion;Gender","Research;M&E;MEL;MEAL;Curriculum Development;Teacher Professional Development;Facilitation;Evaluation;Policy;Play-based Learning;Strategic Planning;Training","Global","English;French;Spanish;Arabic;Portuguese","yes","continuous","SETUP: create a Google Form linked to this Sheet. Members submit opportunities they encounter; admin reviews + promotes to opportunities tab. Replaces the ad-hoc \"\"saw this, who else might want it\"\" Slack chatter pattern."
